Question,Answer
I noticed that there are some data plans that are available on myMTN App but not on the USSD channels. Why is that?,"Yes. These plans are the digital bundles, that are only available for purchase on digital channels like myMTN app, myMTN web, and Facebook, but not available for purchase on channels like USSD and SMS.You will be able to pay for the bundle purchase from your bank account or bank card.Digital BundlesBundle NamePriceValidity1GB Daily BundleN20024 hours3.5GB 2 Days BundleN5002 Days15GB Weekly BundleN2,0007 Days11GB Weekly Bundle + 20minsN3,50030 Days13GB Weekly Bundle + 25minsN4,00030 Days27GB Weekly Bundle + 25minsN6,50030 Days"
Can I use the Digital bundles for normal internet activities?,"Yes, the digital bundles can be used just like the other Access data plans for all internet-based services like browsing, streaming, downloading etc. The only difference is that you can only purchase the bundles on Digital channels only."
Which other add-on can I enjoy when I buy a data bundle?,"Yes, you will enjoy FREE data on select data plans for streaming on YouTube in the night from 12am to 5am and additional FREE data to stream on YouTube All-Day."
Who can enjoy the FREE YouTube Night/Day Video Streaming data?,All MTN customers who purchase any of the data plans eligible for the offer will be able to enjoy the Free YouTube Night/Day data.
How can I enjoy the FREE YouTube Night/Day data?,You will get the FREE YouTube Night/Day data when you buy any of the eligible data plans via the following activation channels:USSD: Dialling *312*1#SMS: Text 130 to 312MTN On Demand (*904#).myMTN AppmyMTN WebMTN TopITFacebook (Mobile Center)GoogleZigi
What is the validity of my Free YouTube Night/Day Data?,Your Free YouTube Night/Day data will have the same validity with the main data plan you purchased.
When will I be able to use the FREE YouTube Night/Day data?,The FREE YouTube Night data is available for us only from 12am � 5am while the YouTube Day is available All-day within the validity period of the main data plan.
Can I enjoy multiples of the FREE YouTube Night/Day data every time I buy the eligible data plans?,"Yes, you can enjoy the FREE YouTube Night/Day data as multiple times on every eligible data plan you buy."
Will I be able to stream videos from other sites/apps with the FREE YouTube Night/Day data?,"NO, the FREE YouTube Night/Day data can only be used to stream videos on YouTube/YouTube Music app and web."
What happens if I exhaust the FREE YouTube Night/Day data while streaming?,You will be charged from your main data bundle or any other available bundle if you continue to watch YouTube videos.
Can I share my FREE YouTube Night/Day data?,"No, you will not be able to share your YouTube Night/Day data, but you can share your main data."
Will I be able to rollover my unused FREE YouTube Night/Day data?,"No, you will not be able to roll over the unused FREE YouTube Night/Day data."
How do I check the balance of my FREE YouTube Night/Day data?,"To check your YouTube Night/Day data balance, simply dial *312*4#, *310#, text 2 to 312, or visit myMTN App, myMTN Web, and Zigi."
Will I be able to rollover my unused main data bundle?,"Yes, you will be able to roll over your Unused main data bundle ONLY if you buy another data plan from the same category with the current bundle within the stipulated grace period. **Note, you will NOT be able to rollover any unused data bonus. See Data Roll Over table below for details:Data PlanBundle Roll Over CategoryRoll Over grace period1-dayDaily bundle1 day2-day2-day3 days3-day3-day3 days7-dayWeekly, 2-week bundle3 days14-day3 days30-dayMonthly7 days60-day2-month, 3-month7 days90-day7 days"
"I am having 1GB remaining from my expired 6GB Monthly Plan, will I be able to rollover the remaining 1GB if I buy another monthly data bundle?","Yes, you will be able to rollover your unused 1GB when you activate any data plan from the monthly bundle category, and the validity of the new data bundle you activated will be applied to the unused/remaining bundle."
If I have an Unused 1GB from my expired 6GB Monthly Plan and I now activated a 40MB Daily Plan. Will my remaining 1GB be rolled over to the daily bundle?,"No, your unused 1GB will expire unless you buy another monthly data plan within the grace period, and your 40MB Daily Plan will have 1 day validity."
What will happen if I do not renew my expired bundle or purchase another bundle of the same category after the rollover period?,"If you fail to renew your expired bundle or purchase another bundle from the same category after the rollover period, all your un-used bundle will be cleared. See Data Roll- Over table for details."
I have 1GB left after my bundle expired. Will I be able to use it within the grace period?,"No, you will NOT be able to use it within the grace period until you renew the bundle or purchase another data plan from the same category with the Un-used bundle. See Data Roll Over table for details."
Will I be able to rollover my unused data bonus?,"No, you will NOT be able to rollover any unused data bonus even if the bundle auto-renews before expiry, upon expiry or within the applicable rollover period."
"If I have multiple data bundle active from different categories, which bundle will auto-renew first?","All bundles will renew according to their bundle category � daily, weekly, and monthly, etc. However, if you have multiple data bundles active from same category, the last data plan you purchased from that category will be the bundle that will be auto renewed. For Example: if you activate two data plans from the daily plans; (40MB on June 1st, 200MB on June 2nd), two plans from the monthly plan; (1.5GB on June 3rd and 10GB on June 4th), on the day of renewal, only 200MB from the daily plan and 10GB from the monthly plan will be the plans that will auto-renew."
Can I share my MTN Data Bundle?,"Yes, you will be able to transfer from your data bundle to another line by dialing *321*Phone number* Data amount# or, text Transfer<space>Phone number<space>Data amount and send to 321."
"I have 2GB Monthly Plan active and then activated 40MB Daily Plan, which of them will deplete first?",The 40MB Daily Plan will be used first and after the data bundle has been exhausted then data charges will be deducted from the 2GB Monthly plan.
Will I be able to browse from my airtime automatically after exhausting my data bundle?,"You will be able to browse from your airtime only after exhausting your data bundle, BUT you will be required to opt in by dialing *312*200# before you can browse from your airtime at Pay As You Go rate."
How do I opt in for PAYG browsing?,"To opt in for PAYG browsing, simply:Dial *312*200#.Send RESET to 312."
How much will I be charged for browsing from my airtime after opting in for PAYG browsing?,Your browsing from your airtime will be charged at N3.07/MB.
Will I be charged for opting in for PAYG browsing?,"No, you will not be charged for opting in for PAYG browsing."
How do I opt out of PAYG browsing?,"To opt out of PAYG browsing, simplyDial *312*201#Send SUSPEND to 312."
How can I check the validity of my data bundle?,"You will be able to check the validity and expiry date of your data bundle via the following channels:SMS: Texting 2 to 312USSD: Dialing *312*4# (for main data bundle and bonus), or *310#myMTN AppmyMTN WebZigi"
What is the benefit of using the MTN 5G router?,"5G offers higher internet speed and faster downloads than 4G and other bands, it can also connect up to 32-64 devices simultaneously for home and office use."
Does the 5G router come with any data bonus?,"Yes, you enjoy multiple data bonus as seen belowThe 5G broadband router is bundled with 100GB data accessible upon activation and valid for 30 days.You also enjoy 100GB data bonus valid for 30 days on your next two (2) broadband data subscriptions of 100GB and above.Enjoy up to 100% data bonus on all Monthly Capped broadband data bundles for 6 months."
What are the promotional offers on monthly broadband plans?,Enjoy up to 100% data bonus on all Monthly Capped broadband data bundles for 6 months
Does the 5G Broadband Router have different or special broadband bundles?,"No, there are no dedicated bundle plans for 5G Broadband Router. Customers can subscribe to our Broadband Home or Office data propositions."
How do I know if my location has 5G coverage?,You can check your 5G coverage on - https://external.mtnncoveragelocator.com/
How many devices can be connected to the MTN 5G Broadband router?,You can connect up to 32-62 devices to your 5G Broadband router at a time.
"Can I use any other SIM card aside from MTN, on the router?","No. You cannot use any other SIM card, but an MTN SIM card."
Can I connect to the router via a LAN cable?,"Yes, You can."
Do I need to do a SIM upgrade to 5G to use the 5G network mode?,"Existing 4G SIMs on the network are also 5G enabled. To upgrade your SIM to 4G, kindly visit the nearest MTN shop for SIM upgrade."
Does the 5G router come with a bundled SIM card ?,"Yes it does. However, to activate the SIM, customer is requested to register the SIM card at the nearest MTN SIM registration point. To locate a SIM registration centre, visit https://www.mtn.ng/sim"
How do I activate the 100GB 5G Router data bonus ?,Send 5GCPE to 312 to get started
How do I link my Router SIM with my MTN SIM ?,You may also link your Broadband Router number to your primary phone number by dialing *312*500# for ease of subscription and management
Can I purchase data from my primary SIM ?,Yes you can activate Broadband Router plans via USSD Platform. Dial USSD code *461*1# and follow the menu to select the bundle of your choice. Your primary number will be charged for the bundle and your Broadband Router device gets the data benefits
Where would the notification go to after activation?,You will receive a notification on both your Broadband router and alternate numbers.
Can I buy data on my router via Zigi?,"Yes, save 09033000001 to your contact as 'MTN WhatsApp Chatbot, send a WhatsApp message to get started. Activate/renew your Broadband Router data, check your balance and get support."
Is there a warranty on the 5G Broadband Device?,Yes. The warranty on the 5G device is valid for one year.
How do I check the 5G Broadband Router Airtime and Data balances?,Please use the http://mymtn.com.ng portal option. The airtime and data balances can be seen on the homepage. You may also use the device interface on 192.168.0.1 or MyMTN App.
Will I be able to roll over my unused data?,Yes. You will be able to roll over your unused data bundle for capped plans only.
Which Broadband Bundles can be used for 5G Broadband Router?,"All Broadband Router bundles (Home and Office) can be used on the 5G Broadband Router. However, broadband bundles from 100GB and above are recommended for a better experience."
Does the 5G router supports specific bands on the MTN network like the 4G?,"Yes, the MTN eShop 5G WiFi Broadband Router is downward compatible and can be used on the 4G network in areas without 5G network coverage"
What will I enjoy?,"You will enjoy, Faster speed, Lower latency, Higher device capacity, Reliable connections and quicker uploads/downloads."
Can I purchase 5G data plans?,There no special bundle plans for 5G Routers. All Broadband Router bundles (Home and Office) can be used on the MTN 5G Broadband Router.
How much is MTN 5G Router?,"The MTN 5G Router costs N60,000 only."
How to upgrade my MTN SIM to 5G network?,You can�t upgrade MTN SIM to 5G network. All 4G sims are compatible with 5G as you just need a 5G device or phone.
How to recharge MTN 5g wifi router?,"Dial *312*500# to link your MTN mobile phone number with your 5g ROUTER.Select 1 to link your 5G router with your MTN mobile number.After linking, dial *312*500*3# to select bundle you want.Or you can dial *461*1#Select bundle.Then select �buy for others�.Input the 5G router number and it is successful."
How to check data balance on MTN 5G router?,"Dial *312*500# to link your MTN mobile phone number with your 5G router number.Select 1 to link your 5G router with your MTN mobile number.After linking, dial *312*500*4*3# to check your balance."
How can I access the Bulk SMS website?,You can access the bulk SMS website by going to https://bulksms.mymtn.com.ng
How do I navigate the Bulk SMS platform?,Click here to access download the Bulk SMS user guide
Is it possible to get free Bulk SMS units?,"Yes, you get free units when you purchase a Thryve bundle. Click here to buy"
Can I enjoy discounted prices on the Bulk SMS bundle?,"Yes, you can be eligible for discounted unit prices when if you are on a BizPlus, BizConnect, BizClass , Thryve , ConnectMore or a post-paid plan."
What are the discounted prices compared to the standard prices for each volume band?,"Bulk SMS Bundles   Volume Bands   Standard Price /SMS   Discounted Price /SMS    Validity      Basic   500-2,000   N2.15   N2.00   30days      Standard   2001-10,000   N2.05   N1.90   30days      Premium   10,001-25,000   N2.00   N1.85   30days      Enterprise   25,001-50,000   N1.95   N1.80   30days"
Is there a limit to the number of units I can purchase?,"Yes, you can buy a maximum volume of 50,000 SME Bulk SMS units per month."
Can I send Bulk SMS to international numbers?,"No, you can only send to MTN numbers."
"If I have multiple Family Pack bundles active, which bundle will deplete first?","If you have multiple Family Pack bundles active on your line, the bundle with the least validity will be used first.Example: If you have a 20GB Monthly Plan and 400GB 3-Month Plan both active on your line, the 20GB Monthly Plan will be used first before the 400GB 3-Month Plan."
What happens if my beneficiaries have not used up to their allotted data volumes and I exhaust the Family Pack bundle before renewal date?,"If you exhaust the bundle before the renewal date, all your beneficiaries will no longer be able to browse from the bundle and every internet activity would be deducted from their personal lines. However, once the bundle is renewed the allocated data volume would reset and both you and your beneficiaries would be able to browse with the Family Pack bundle."
What happens if I exhaust my Family Pack bundle before the renewal date?,"As soon as you exhaust your Family Pack bundle before the expiry, your data access will be suspended, and you will not be able to browse again. To continue browsing, you may need to do one of the following: � Buy another Family Pack by dialling *131*1*7# � Buy a Top-up Plan"
How can I activate the Top-up Plan?,"To activate the Top-up Plan, you must first ensure that you have a Family Pack bundle active on your line. You can activate the Family Pack Top-up Plan via the following channels: � USSD: by dialling *131*1*7# and selecting the �Buy Family Pack� option.� SMS: by sending the activation code to 131. See table below for details."
What is the validity of my Top-up Plan?,"The Top-up bundle will inherit the remaining validity days of the last Family Pack plan active on your line. Therefore, if the validity of the active Family Pack monthly plan you activated on your line is remaining 5 days, the validity of the Top-up Plan you purchased would be 5 days."
Will I be able to enjoy bonus offers when I activate a Family Pack bundle?,"� Yes. You will enjoy FREE 50minutes and 100 SMS� to communicate only with your Family Pack beneficiaries. Note that you will not enjoy any other bonus offers such as Upgrade offer, Device offer, Referral offer, and any double data offer on your Family Pack bundle."
What is the validity of the FREE voice minutes and SMS?,Your FREE 50minutes and 100 SMS� will be valid 30 days.
What is the validity of my FREE 500MB data?,Your FREE 500MB data will be valid for 30 days from the day you registered the beneficiary. You will be able to use the FREE data all-day to access any websites/apps.
Can I transfer data from my Family Pack bundle?,"No, you will not be able to transfer data from your Family Pack bundle."
Will I be able to rollover my unused main data bundle?,"Yes, you will be able to roll over your Unused main data including your Top-up bundles ONLY if you buy another data plan from the same category with the current bundle within the stipulated grace period. **Note, you will NOT be able to rollover any unused data bonus. See table below for details:     Data Plan   Bundle Roll Over Category    Roll Over period     30-day   Monthly   7 days      90-day   3-Month   7 days     Top-up (ad hoc)   NA   NA"
How do I check my Family Pack balance?,"You will be able to check your Family Pack�s sponsor and beneficiary�s allotted data balance via the following channels: � USSD: by dialing *131*1*7#, then select �Balance Enquiry� option, or *556#, and *131*4# on your mobile phone � SMS: Texting 2 to 131"
What is MTN Family Pack?,MTN Family Pack is a data bundle bouquet with unique feature of data share which allows customers (sponsors) to add and allocate data to 5 beneficiaries. The sponsor will be able to set usage limits for each beneficiary while all the usages will be deducted from the sponsor�s account.  The sponsor will also get FREE 500MB for each beneficiary added and enjoy FREE complimentary 50 minutes and 100 SMS� for every Family Pack bundle activated to communicate with the beneficiaries.
Who can subscribe to MTN Family Pack?,"All MTN Customers can subscribe to MTN Family Pack. However, customers will not be able to serve as both Family Pack sponsor and beneficiary at the same time."
What are the different MTN Family Pack available?,"They are Monthly, Bi-monthly, and Top � up plans. See table below for the available Family Pack bundles."
How do I subscribe to MTN Family Pack?,You can subscribe to MTN Family Pack via the following channels: � USSD: By dialling *131*1*7# and select your preferred plan � SMS: By sending the bundle plan keyword to 131. (See table below for keywords). You will also enjoy FREE 50 voice minutes and 100 SMS� on every Family Pack bundle you buy.
How can I become a Family Pack sponsor?,You will become a Family Pack sponsor the moment you activate any Family Pack bundles on your line. Note that you cannot be a beneficiary of another sponsor while you are having a Family Pack bundle active on your line.
How can I become a Family Pack beneficiary?,You can be a Family Pack beneficiary if you are added as a beneficiary by another line (sponsor). Note that you will not be able to activate a Family Pack bundle i.e. become a sponsor while you are a beneficiary.
Can I be a beneficiary of multiple Family Pack sponsors?,"No. You can only be a beneficiary of one Family Pack sponsor at a time. However, you can decline to be a beneficiary of a sponsor by dialling *131*1*7# on your mobile phone and select �Manage Beneficiary/Sponsor� option."
How can I add a beneficiary on my Family Pack?,"To add a beneficiary, simply dial *131*1*7# and select �Add New Beneficiary� option. You will get FREE 500MB data each for the first 5 beneficiaries you added."
Will I be charged for adding a beneficiary on my Family Pack?,"You will be able to add 5 beneficiaries for FREE in every 30 days. However, you will be charged N100 for each modification (i.e. edit/replace) after registering the 5 phone numbers within 30 days. To modify added beneficiaries simply dial *131*1*7# and select �Manage Beneficiary� option."
How can I set data limits for a beneficiary?,"You can set data limits for your beneficiaries by dialling *131*1*7# select option for �Add New Beneficiary/Sponsor�, then select �Allocate Family Pack� option. You will be able to allocate data as much as you have in your balance."
How will I be able to opt in for auto-renew or renew my Family Pack bundle?,"You will be able to opt in for auto-renewal or renew the bundle by sending R+bundle code to 131. Example: If you have an active 20GB Monthly Family Plan that is on One-off purchase, you will be able to renew it by sending R21 to 131. See all auto-renewal commands in the table below."
Will I be able to cancel auto-renewal anytime?,"Yes, you will be able to cancel auto-renewal on your Family Pack bundle anytime by sending the opt-out keyword to 131. See table below."
Can I purchase multiple MTN Family Pack bundles?,"Yes, you can activate multiple Family Pack bundles. Each bundle purchased will have its own unique expiry dates and you will enjoy FREE 50 minutes and 100 SMS� on every bundle activated."
"If I have MTN Access bundle active on my line, will I be able to buy a Family Pack bundle?","Yes, you will be able to buy a Family Pack bundle, however, you will only be able to allocate data to your beneficiaries from the Family Pack. The data depletion priority on your line would be based on the validity of the active bundles where the bundle with the least validity will take precedence."
What is MTN Social Bundle?,"MTN Social Bundle is an event-based data bundle that allows customers to enjoy access to their favourite social media Apps such as Facebook, Ayoba, Eskimi, WeChat, 2GO, WhatsApp, YouTube, TikTok, Opera Mini & News, and Instagram at unbeatable rates. You will be able to subscribe to a social bundle plan for as low as N25 daily and to buy All Social Bundle plan to access Facebook, WhatsApp, TikTok, Instagram, Ayoba, WeChat, 2GO, Vskit, and Eskimi for N50 daily, N100 weekly and N250 monthly. You can also buy a special social bundle plan to stream only on YouTube, Instagram & TikTok as cheap as N100. And you will also be able to subscribe to Social Mega Bundles at fantastic rates for as low as N200 for 750MB and N300 for 1GB."
Who is eligible for this offer?,All MTN customers are eligible to enjoy the Social Bundle WHILE MTN Prepaid customers will be eligible to enjoy the Social Mega Bundle.
How do I access MTN Social Bundle?,"To access Social Bundle, simply dial *131*3#. This will display all the available Social plans."
Can I subscribe to Social Bundle through SMS?,"Yes, you can. Simply send the keyword of your preferred social plan to 131. See table below for full list of Social Bundles with the activation keyword for the different plans."
Can I access all social media apps with MTN Social Bundle?,"Yes, you can access Facebook, WhatsApp, Instagram, Ayoba, WeChat, 2GO, TikTok, Vskit, and Eskimi apps at the same time if you subscribe to any of the ALL SOCIAL BUNDLE plans. Simply dial *131*3*6# and select your preferred plan OR send the keyword of your preferred All Social Bundle to 131."
Can I get Social Bundles to access a combination of selected social apps on my phone?,"Yes, you can buy the following bundles to access a combination of social apps on your phone by simply dialing *131*3# or sending the keywords from your respective tariff plans:     s/n   Bundles   Type     1   YouTube, Instagram &TikTok   All tariff plans     2   All Social Bundles (WhatsApp, Facebook, Instagram, Ayoba, TikTok, 2Go, WeChat, Vskit, and Eskimi)   All tariff plans     3   WhatsApp & Facebook   BetaTalk Customers only     4   Social Mega Bundles (Facebook, Instagram & YouTube)   Prepaid Customers"
How much is the Social bundle?,"The subscription charges are as follows. For single Social Bundle (GoodyBag):  � Daily plan � N25 � Weekly plan � N50 � Monthly plan � N150 For All Social Bundles: � Daily plan � N50 � Weekly plan � N100 � Monthly plan � N250 For YouTube, Instagram & TikTok Only Bundle: � Daily plan � N100 For WhatsApp & Facebook Bundle  � Daily plan � N25 � Weekly plan � N50 � Monthly plan � N100 For Social Mega Bundle � 3 Days plan � N200 � Weekly plan � N300"
Will my subscription be bundled with a data allowance?,"Yes, but fair usage policy applies as follows. For single Social Bundle: � Daily plan � 25MB � Weekly plan � 50MB � Monthly plan � 150MB For Instagram Social Bundle � Daily plan � 250MB � 3- Day Plan- 1GB For All Social Bundles: � Daily plan �150MB � Weekly plan � 350MB � Monthly plan � 1GB For YouTube, Instagram & TikTok Only Bundle: � Daily plan �350MB For WhatsApp &Facebook Bundles (BetaTalk Only): � Daily plan �100MB � Weekly Plan � 200MB � Monthly Plan � 500MB For Social Mega Bundle (Prepaid Customers Only) � 3 Days plan � 750MB � Weekly plan � 1GB"
Will I receive the data allowance on every subscription to social bundle(s),"Yes, you will receive data allowance on every subscription to social bundle(s)."
"If I have an existing data bundle or bonus and subscribe to Social Bundle(s), which data will deplete first while browsing?","You will be charged first from your Social Bundle data allowance, then any active data bonus before charging from your data bundle."
How do I check my Social bundle balance?,"To check your Social Bundle balance, dial *131*4#."
Will I be able to browse all internet sites or App with my data allowance after subscribing to Social Bundle?,"No, you will ONLY be able to browse the social app or instant messaging services that you have subscribed to e.g. subscription to Facebook, WeChat and WhatsApp bundles will only grant you access to Facebook, WeChat and WhatsApp respectively."
Will I have to re-subscribe to the same Social Bundle(s) before my subscription expires?,Your subscription will be auto renewed on the day of expiry as long as you have enough airtime but you will receive a notification message before renewal and after renewal.
Will I be able to roll over my unused social bundle data allowance?,"Yes, you will be able to roll-over your unused data within the stipulated grace-period. See table below:     Social Plan   Roll Over Category   Grace Period     Daily/ 3 Day    Daily   1 day     Weekly   Weekly   3 days     Monthly   Monthly   7 days"
How do I stop automatic renewal of any of the social bundles?,"You can stop auto renewal by sending STOP+keyword for single Social Bundle e.g. STOPWCM to 131 for WeChat monthly plan, and NO+keyword for other bundles e.g. NOASD to 131 for All Social Daily, or NOYIB to 131 for YouTube, Instagram &TikTok Bundle, and NOWFM to131 for WhatsApp &Facebook Bundles (Beta Talk Customers Only). e.g. NOSDM to 131 for 3 Days Social Mega Bundle, and NOSDW to 131 for Weekly Social Mega Bundle.                          Bundle Type   Plan   Price per App   Apps   Activation SMS to 131   Opt-In Autorenewal SMS to 131   Opt-out Autorenewal SMS to 131   USSD Activation       Single Social Bundle (GoodyBag)   Social Bundle Daily (GoodyBag)   N25   WhatsApp   WAD   RWAD   STOPWAD   *131*3#     Facebook   FBD   RFBD   STOPFBD     Ayoba   ABD   RABD   NOABD     2Go   2GOD   R2GOD   STOP2GOD     WeChat   WCD�   RWCD�   STOPWCD     Eskimi   ESKD   RESKD   STOPESKD     N50   TikTok   TBD   RTBD   NOTBD     N100   Instagram   INSD   RINSD   STOPINSD     N200   Instagram (3-day Plan)   IGD   RIGD   NOIGD     Social Bundle Weekly (GoodyBag)   N50   WhatsApp   WAW�   RWAW�   STOPWAW     Facebook   FBW   RFBW   STOPFBW     Ayoba   ABW   RABW   NOABW     2Go   2GOW�   R2GOW�   STOP2GOW     WeChat   WCW�   RWCW�   STOPWCW     Eskimi   ESKW�   RESKW�   STOPESKW     N350   TikTok   TBW   RTBW   NOTBW     Social Bundle Monthly (GoodyBag)   N150   WhatsApp   WAM�   RWAM�   STOPWAM     Facebook   FBM   RFBM   STOPFBM     Ayoba   ABM   RABM   NOABM     2Go   2GOM�   R2GOM�   STOP2GOM     WeChat   WCM�   RWCM�   STOPWCM     Eskimi   ESKM�   RESKM�   STOPESKM     All Social Bundles   All Social Bundles (Daily)   N50   WhatsApp, Facebook, Instagram, Ayoba, 2Go, WeChat, TikTok, Vskit, and Eskimi   ASD   RASD   NOASD     All Social Bundles (Weekly)   N100   WhatsApp, Facebook, Instagram, Ayoba, 2Go, WeChat, TikTok, Vskit, and Eskimi   ASW   RASW   NOASW     All Social Bundles (Monthly)   N250   WhatsApp, Facebook, Instagram, Ayoba, 2Go, WeChat, TikTok, Vskit, and Eskimi   ASM   RASM   NOASM     YouTube, Instagram & TikTok ONLY Bundle   YouTube, Instagram &TikTok (Daily)   N100   YouTube, Instagram and TikTok   YIB   RYIB   NOYIB"
What is MTN MSME Learning Bundle?,"This is a learning data bundle tailored to give customers subsidized data access to specific learning platforms of our partner agencies such as EDC, Fate Foundation, SMEDAN etc."
Who can activate MTN MSME Learning Bundle?,All MTN Prepaid and Post-paid customers can activate Learning bundles.
What are the sites the bundle currently works on?,SMEDAN: https://www.smedigitalacademy.com/  EDC: https://smetoolkit.ng/  Fate Foundation: https://www.msmehub.org/
How much data volume to I get on the MSME learning bundle and what is the validity of the bundle?,The MTN MSME Learning bundle offers 2GB data at the price of N200 which is valid for 7 days.
How do I buy the bundle?,Customers can also activate the bundle through these channels � USSD � *460*200# � SMS � Send �Learn� to 131
What happens when I want to access the learning websites and I have an existing mobile data plan and an MSME Learning bundle?,"Your learning bundle depletes when you are on the learning websites, even if you have another active data bundle."
What happens when I want to access other websites and I have an existing mobile data plan and an MSME Learning bundle?,Your mobile data plan would deplete instead when you are on other websites
Can I purchase the bundle multiple times?,"Yes, you can. There is no limit to the number of times you can purchase it."
"If my Learning bundle is on One-off option, will I be able to opt in for Recurrent option or renew the bundle?","Yes, you will be able to opt in for Recurrent option or renew the bundle by sending �RLearn� to 131."
How can I check my main account and MSME Learning bundle balance?,"You can check your main account balance, MSME Learning bundle balance and bundle expiry by dialling the code *131*4#"
Who is SME Data share for?,"MTN SME Data Share has been designed specifically for business owners who need to enable their staff, wherever they are based, by sharing mobile data with them."
